title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Juice,"$2,172,500 ","$400,000 ","$600,000 ",Signed and Dated,"14.38"" x 22.88""",1967,Gunpowder / Paper,601,"Christie's New York, Rockefeller Center",11/16/18
Shooting Star,"$275,000 ","$180,000 ","$250,000 ",Signed and Dated,"38.38"" x 50.00""",1984,Acrylic  and dry pigment / Paper,604,"Christie's New York, Rockefeller Center",11/16/18
Ruby,"$3,252,500 ","$2,000,000 ","$3,000,000 ",Signed and Dated,"20.00"" x 24.00""",1968,Oil / Canvas,670,"Christie's New York, Rockefeller Center",11/16/18
G & Golf Ball,"$250,000 ","$200,000 ","$300,000 ",Signed and Dated,"56.25"" x 36.00""",2006,Acrylic  and graphite on incised museum board,700,"Christie's New York, Rockefeller Center",11/16/18
I'm Out to Lunch without my Sugar Bunch,"$250,000 ","$250,000 ","$350,000 ",Signed and Dated,"23.00"" x 29.00""",1980,Carrot juice on paper mounted on foamcore,701,"Christie's New York, Rockefeller Center",11/16/18
End,"$1,032,500 ","$800,000 ","$1,200,000 ",Signed and Dated,"48.13"" x 48.13""",1993,Acrylic / Canvas,704,"Christie's New York, Rockefeller Center",11/16/18
"Pneumatic Muscles, Hydraulic Smiles","$756,500 ","$450,000 ","$550,000 ",Signed and Dated,"26.13"" x 32.00""",2010,Acrylic / Canvas,716,"Christie's New York, Rockefeller Center",11/16/18
Idling Engines,"$175,000 ","$150,000 ","$250,000 ",Signed and Dated,"16.00"" x 20.00""",2012,Bleach on fabric mounted on board,737,"Christie's New York, Rockefeller Center",11/16/18
STAINS (ENGBERG B9),"$81,250 ","$30,000 ","$40,000 ",Signed,"12.50"" x 11.50"" x 11.50""",1969,portfolio,151,Sotheby's New York,11/15/18
MEAN AS HELL,"$1,395,000 ","$1,200,000 ","$1,800,000 ",Signed and Dated,"22.00"" x 80.00""",1979,Oil / Canvas,157,Sotheby's New York,11/15/18
THE WORLD,-not sold-,"$200,000 ","$300,000 ",Signed and Dated,"23.00"" x 29.00""",1977,carrot juice / Paper,175,Sotheby's New York,11/15/18
