title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Untitled,-not sold-,"$200,000","$250,000",Unavailable,"15.00"" x 17.50""",not given,Mixed Media / Paper,352,Sotheby's New York,05/09/1990
Dionysus,-not sold-,"$175,000","$200,000",Unavailable,"39.30"" x 27.60""",not given,Collage,415,Sotheby's New York,05/09/1990
Untitled,-not sold-,"$800,000","$1,000,000",Unavailable,"39.50"" x 39.50""",not given,Mixed Media / Canvas,30,Sotheby's New York,05/08/1990
Untitled,"$5,500,000","$5,000,000","$6,000,000",Unavailable,"118.00"" x 184.50""",not given,Mixed Media / Canvas,47,Sotheby's New York,05/08/1990
Untitled,"$3,850,000","$3,500,000","$4,500,000",Unavailable,"68.00"" x 90.00""",not given,Mixed Media / Canvas,54,Sotheby's New York,05/08/1990
Untitled,-not sold-,"$1,250,000","$1,500,000",Unavailable,"37.70"" x 75.20""",not given,Mixed Media / Canvas,61,Sotheby's New York,05/08/1990
Study for School of Athens,-not sold-,"$1,200,000","$1,500,000",Unavailable,"40.20"" x 51.20""",not given,Mixed Media / Canvas,80,Sotheby's New York,05/08/1990
"Untitled (From ""Delian Ode"")",-not sold-,"$250,000","$350,000",Unavailable,"13.10"" x 13.80""",not given,Ink / Paper,190,"Christie's New York, Rockefeller Center",05/08/1990
"Untitled (Captiva Island, Florida)","$165,000","$175,000","$200,000",Unavailable,"29.50"" x 41.70""",not given,Collage / Paper,166,Sotheby's New York,02/27/1990
Untitled (Columbia Venezia),-not sold-,"$30,000","$40,000",Unavailable,"13.70"" x 38.20""",not given,Ink / Paper,179,Sotheby's New York,02/27/1990
Galleria La Tartaruga,"$15,400","$12,000","$15,000",Unavailable,"27.50"" x 19.50""",not given,Ink / Paper,238,Sotheby's New York,02/27/1990
Untitled,"$220,000","$200,000","$300,000",Unavailable,"27.50"" x 34.20""",not given,Mixed Media / Paper,78,"Christie's New York, ""East""",02/23/1990
Untitled,"$385,000","$120,000","$150,000",Unavailable,"18.00"" x 24.00""",not given,Mixed Media / Paper,276,Sotheby's New York,11/10/1989
Untitled (Roman Note No 10),"$231,000","$100,000","$125,000",Unavailable,"27.20"" x 34.00""",not given,Mixed Media / Paper,277,Sotheby's New York,11/10/1989
Untitled (Triptych),"$44,000","$60,000","$70,000",Signed,"27.50"" x 58.50""",not given,Ink / Paper,305,Sotheby's New York,11/10/1989
Untitled,"$374,000","$50,000","$60,000",Unavailable,"16.00"" x 20.00""",not given,Mixed Media / Canvas,117,Sotheby's New York,11/09/1989
Formian Dreams and Actuality,"$577,500","$250,000","$300,000",Unavailable,"39.20"" x 27.50""",not given,Oil / Paper,37,Sotheby's New York,11/08/1989
How Long Must You Go,"$1,705,000","$1,500,000","$2,000,000",Unavailable,"78.00"" x 102.00""",not given,Mixed Media / Canvas,43,Sotheby's New York,11/08/1989
Untitled,"$440,000","$250,000","$300,000",Unavailable,"22.50"" x 17.50""",not given,Mixed Media / Paper,51,Sotheby's New York,11/08/1989
Study in Browns,-not sold-,"$100,000","$125,000",Unavailable,"26.60"" x 34.00""",not given,Mixed Media / Paper,154,"Christie's New York, Rockefeller Center",11/08/1989
Untitled,"$374,000","$100,000","$150,000",Unavailable,"22.70"" x 30.60""",not given,Mixed Media / Paper,201,"Christie's New York, Rockefeller Center",11/08/1989
Leda and the Swan,"$990,000","$650,000","$850,000",Unavailable,"39.50"" x 31.50""",not given,Mixed Media / Canvas,84,"Christie's New York, Rockefeller Center",11/07/1989
Landscape,"$110,000","$55,000","$75,000",Signed on Reverse,"11.00"" x 21.00""",not given,Mixed Media / Panel,131,Sotheby's New York,05/03/1989
Untitled,-not sold-,"$90,000","$120,000",Signed on Reverse,"21.70"" x 30.00""",not given,Colored Pencil / Paper,133,Sotheby's New York,05/03/1989
Composition,"$374,000","$150,000","$180,000",Signed,"31.50"" x 39.50""",not given,Mixed Media / Canvas,134,Sotheby's New York,05/03/1989
Untitled,"$462,000","$250,000","$350,000",Signed on Reverse,"59.00"" x 49.00""",not given,Mixed Media / Canvas,49,Sotheby's New York,05/02/1989
Untitled,"$137,510","$100,000","$125,000",Signed,"27.50"" x 39.20""",not given,Mixed Media / Paper,249,Sotheby's New York,02/16/1989
