title,sales_price,low_estimate,high_estimate,signature,size,created,medium,auction_lot,auction_house,auction_date
Ramses,"$823,060","$448,840","$673,260",Signed and Dated,"29.92"" x 22.44""",1980,wax crayon and graphite / Paper,19A,Christie's Paris,06/08/2016
Untitled (Colomba Venezia),"$56,110","$56,110","$89,770",Inscribed,"13.78"" x 12.80""",1960,Ink / Paper,656,"Dorotheum, Vienna",06/01/2016
Senza titolo (Vittorio),"$8,280","$6,730","$8,980",Signed Lower Right,"7.87"" x 5.71""",1975,Pastel / Paper,158,BlindArte,05/26/2016
"Natural History, Part I, Mushrooms: No. VII.","$7,500","$6,000","$9,000",Signed Initials,"29.75"" x 21.88""",1974,Color lithograph with mixed-media collage / Paper,81,Swann Galleries,05/12/2016
"Natural History, Part I, Mushrooms: No. X.","$7,500","$6,000","$9,000",unknown,"29.75"" x 21.88""",1974,Color lithograph with mixed-media collage / Paper,82,Swann Galleries,05/12/2016
UNTITLED (NEW YORK CITY)  (Estimate upon request),"$36,650,000",n/a,n/a,Signed and Dated,"60.00"" x 68.13""",1968,Oil based house paint and wax crayon / Canvas,21,Sotheby's New York,05/11/2016
UNTITLED [BACCHUS 1ST VERSION V]  (Estimate upon request),"$15,370,000",n/a,n/a,Signed and Dated,"104.75"" x 79.00""",2004,Acrylic  and oilstick and wax crayon / Panel,25,Sotheby's New York,05/11/2016
Untitled,"$87,500","$70,000","$100,000",unknown,"12.25"" x 14.50""",1958,Pastel  and graphite / Paper,207,"Christie's New York, Rockefeller Center",05/11/2016
Untitled,"$2,965,000","$2,500,000","$3,500,000",Signed and Dated,"17.50"" x 14.00""",1970,Oil paint and wax crayon / Paper,20B,"Christie's New York, Rockefeller Center",05/10/2016
Untitled,-not sold-,"$2,800,000","$3,500,000",Inscribed and Signed,"39.38"" x 59.38""",1961,"Lead pencil, oil based house paint and wax crayon / Canvas",58B,"Christie's New York, Rockefeller Center",05/10/2016
"Title Print, from Natural History Part II Some Trees of Italy, circa 1975-76","$6,880","$4,000","$6,000",Signed,"29.88"" x 22.13""",not given,Collage  and lithograph / Paper,228,Phillips New York,04/25/2016
"NOS. I, II, III, IV, V, VI, VII AND IX (FROM NATURAL HISTORY, PART I - MUSHROOMS)","$60,360","$35,510","$49,710",Signed Initials,Dimensions not available,not given,Mixed Media  and lithographs with hand additions / Paper,68,"Sotheby's London, New Bond Street",04/21/2016
UNTITLED (POPPY FLOWERS),"$399,080","$142,020","$213,030",Signed and Dated,"21.65"" x 18.31""",1992,Watercolor / Paper,78,"Sotheby's London, New Bond Street",04/21/2016
"Natural history part I (III), 1974","$13,200","$11,000","$13,200",Signed Initials,"29.80"" x 21.97""",1974,"Collage  , lithography and pencil / Paper",14,Meeting Art,03/06/2016
Untitled (St. Maartin),"$664,960","$580,120","$870,180",Signed and Dated,"22.72"" x 30.71""",1969,"Mixed Media  pencil, coloured pencil and pastel / Paper",16,Phillips London,02/09/2016
Sperlonga collage,"$118,210","$52,960","$74,140",Signed and Dated,"10.83"" x 8.54""",1059,Collage  with paper and Glue and Crayon / Paper,619,Kunsthaus Lempertz,11/28/2015
UNTITLED,"$100,000","$100,000","$150,000",Signed,"33.75"" x 26.75""",1965,Pencil  and wax crayon / Paper,164,Sotheby's New York,11/12/2015
UNTITLED,"$4,506,000","$2,000,000","$3,000,000",Signed and Dated,"27.50"" x 39.38""",1970,Oil  and Wax Crayon / Paper,4,Sotheby's New York,11/11/2015
Two Parts: IDILLI (I AM THYRSIS OF ETNA BLESSED WITH A TUNEFUL VOICE),-not sold-,"$1,500,000","$2,000,000",Signed and Dated,Dimensions not available,1976,Collage  and Oil and Wax Crayon and Pencil and Tape / Paper,16,Sotheby's New York,11/11/2015
UNTITLED (NEW YORK CITY)  (Estimate Upon Request),"$70,530,000",n/a,n/a,Signed and Dated,"68.00"" x 90.00""",1968,Oil Based House Paint and Wax Crayon / Canvas,18,Sotheby's New York,11/11/2015
UNTITLED (ZURICH),"$1,870,000","$1,800,000","$2,500,000",Signed Initials,"38.00"" x 10.25"" x 10.25""",2009,Bronze,25,Sotheby's New York,11/11/2015
Untitled,"$149,000","$150,000","$200,000",Inscribed and Signed,"26.38"" x 33.88""",1966,Colored Pencil  and graphite / Paper,181,"Christie's New York, Rockefeller Center",11/11/2015
Untitled,-not sold-,"$350,000","$550,000",Signed and Dated,"25.50"" x 20.00""",1971,"Gouache  ,crayon and graphite / Paper",254,"Christie's New York, Rockefeller Center",11/11/2015
Untitled,"$17,525,000",n/a,n/a,Signed and Dated,"58.13"" x 77.13""",1971,"oil-based house paint, oil paint, wax crayon and lead pencil / Canvas",17B,"Christie's New York, Rockefeller Center",11/10/2015
"""Untitled (Augusta, Georgia)""",-not sold-,"$153,260","$229,890",Signed and Dated,"18.78"" x 24.84""",1954,Pencil / Paper,32,"Sotheby's London, New Bond Street",10/15/2015
"""Untitled""",-not sold-,"$306,520","$459,780",Unavailable,"34.21"" x 17.87""",1968,Pencil  and Collage / Paper,48,"Sotheby's London, New Bond Street",10/15/2015
"Untitled , 2006","$12,142,020","$12,260,800","$18,391,200",Signed Initials,"84.65"" x 66.06""",2006,Acrylic / Canvas,20,Phillips London,10/14/2015
UNTITLED,"$18,530","$15,600","$23,410",Signed on Reverse,"12.01"" x 11.22""",1960,Pencil / Paper,153,"Sotheby's London, New Bond Street",07/02/2015
SEE NAPLES + DIE,-not sold-,"$548,280","$704,930",Signed and Titled,"19.65"" x 27.64""",1960,Chalk  and pencil / Paper,13,"Sotheby's London, New Bond Street",07/01/2015
Virgil,"$2,451,570","$1,879,800","$2,819,700",Signed on Reverse,Dimensions not available,1973,Oil  and crayon and pencil / Card,19,"Sotheby's London, New Bond Street",07/01/2015
Untitled,"$295,290","$313,300","$469,950",Signed and Dated,"19.49"" x 27.76""",1964,Crayon  ballpoint pen and graphite / Paper,143,"Christie's London, King Street",07/01/2015
Untitled,"$116,700","$109,660","$156,650",Signed and Dated,"12.01"" x 14.29""",1957,Crayon  and graphite / Paper,173,"Christie's London, King Street",07/01/2015
"Study for Lepanto, 1999","$37,970","$3,350","$4,467",Unavailable,"5.91"" x 9.06""",1999,Acrylic  and pastel / Paper,33,Giafferi,06/29/2015
"Untitled (Rome), 1962","$307,360","$226,500","$283,130",Signed and Dated,"12.60"" x 18.31""",1962,"Graphite, red and blue ballpoint and wax crayon / Cardboard",727,"Dorotheum, Vienna",06/10/2015
"‘Colomba, (Venice)’, 1960","$113,250","$90,600","$135,900",Signed and Dated,"13.78"" x 12.80""",1960,Red ballpoint pen / Paper,782,"Dorotheum, Vienna",06/10/2015
"""Silex Scintillans""","$396,800","$113,370","$170,060",Signed Monogram,"39.37"" x 27.80""",1981/82,Oil  with colored chalk and pencil / Paper,47,Grisebach,06/04/2015
"Allusion (Bay of Napoli, Part II), 1975",-not sold-,"$200,000","$300,000",Signed on Reverse,"27.38"" x 78.50""",1975,"Collage  with  oil, crayon, pencil, on two sheets of drawing paper laid over paper / Paper",190,Phillips New York,05/15/2015
"Dionysus, 1979",-not sold-,"$150,000","$200,000",Signed Initials,"39.00"" x 29.50""",1979,"Collage  with  tempera, crayon, and graphite on paper, on two sheets / Paper",191,Phillips New York,05/15/2015
"Untitled, 1960",-not sold-,"$2,000,000","$3,000,000",Inscribed and Signed,"37.50"" x 39.00""",1960,"Crayon  ,lead pencil and oil based paint / Canvas",32,Phillips New York,05/14/2015
Triumph of Galatea,"$461,000","$100,000","$150,000",Signed and Titled,"11.00"" x 14.00""",1961,Pencil  and wax crayon / Paper,491,"Christie's New York, Rockefeller Center",05/14/2015
Untitled,"$317,000","$100,000","$150,000",unknown,"11.00"" x 14.00""",1960-61,Pencil  and wax crayon / Paper,492,"Christie's New York, Rockefeller Center",05/14/2015
Untitled (Modella),"$257,000","$120,000","$180,000",Signed Lower Right,"33.75"" x 26.50""",1966,Pencil  and colored pencil / Paper,493,"Christie's New York, Rockefeller Center",05/14/2015
Ovid At Sea,"$245,000","$100,000","$150,000",Signed and Dated,"11.00"" x 14.00""",1960,Pencil / Paper,501,"Christie's New York, Rockefeller Center",05/14/2015
Untitled,"$425,000","$400,000","$600,000",Signed and Dated,"25.75"" x 20.00""",1971,Crayon  and gouache / Paper,508,"Christie's New York, Rockefeller Center",05/14/2015
UNTITLED,"$4,421,000","$2,500,000","$3,500,000",Signed and Dated,"33.50"" x 30.00""",1969,Oil  and graphite and wax crayon / Paper,30B,"Christie's New York, Rockefeller Center",05/13/2015
UNTITLED,"$42,725,000","$35,000,000","$55,000,000",Inscribed and Signed,"79.00"" x 94.25""",1969,"Oil-based house paint, wax crayon and lead pencil / Canvas",43B,"Christie's New York, Rockefeller Center",05/13/2015
UNTITLED,"$4,869,000","$2,500,000","$3,500,000",Signed and Dated,"30.00"" x 40.00""",1969,Oil  and wax crayon / Paper,44B,"Christie's New York, Rockefeller Center",05/13/2015
UNTITLED,-not sold-,"$4,500,000","$6,500,000",Unavailable,"19.75"" x 23.75""",1961,"Oil-based house paint, lead pencil and wax crayon / Canvas",77B,"Christie's New York, Rockefeller Center",05/13/2015
"POSTER STUDY FOR ""NINE DISCOURSES ON COMMODUS BY CY TWOMBLY AT LEO CASTELLI"" 1964","$187,500","$150,000","$200,000",Signed and Dated,"27.40"" x 19.61""",1964,Mixed Media  pencil and graphite / Paper,131,Sotheby's New York,05/13/2015
UNTITLED,"$5,066,000","$4,000,000","$6,000,000",Signed and Dated,"55.00"" x 34.00""",1970,Oil  and wax crayon / Paper,4,Sotheby's New York,05/12/2015
UNTITLED (NEW YORK CITY),-not sold-,"$5,000,000","$7,000,000",Signed and Dated,"45.13"" x 53.25""",1956,"oil based house paint, wax crayon and lead pencil / Canvas",57,Sotheby's New York,05/12/2015
"Untitled, 1962","$746,670","$541,630","$696,380",Signed and Dated,"19.76"" x 27.52""",1962,"Ink  and graphite, oil stick / Paper",22,Phillips London,02/12/2015
Untitled,"$226,710","$108,330","$154,750",Signed and Dated,"11.93"" x 14.41""",1958,Pencil  and wax crayon / Paper,161,"Christie's London, King Street",02/12/2015
Untitled (New York),"$30,458,670",n/a,n/a,Signed and Dated,"56.97"" x 70.00""",1970,Oil based house paint and wax crayon / Canvas,26,"Christie's London, King Street",02/11/2015
Untitled,"$932,370","$773,750","$1,083,250",Signed and Dated,"35.43"" x 30.04""",1969-71,Acrylic  and crayon / Paper,29,"Christie's London, King Street",02/11/2015
Death of Pompey (Rome),"$6,713,830","$6,190,000","$9,285,000",Signed and Dated,"57.20"" x 69.49""",1962,Oil  and graphite / Canvas,35,"Christie's London, King Street",02/11/2015
Portrait of Alvise Di Robilant,-not sold-,"$928,500","$1,238,000",Unavailable,"58.98"" x 49.09""",1967,"Oil-based house paint, graphite and wax crayon / Canvas",40,"Christie's London, King Street",02/11/2015
ROME,"$5,950,140","$3,095,000","$4,642,500",Signed and Dated,"27.56"" x 34.25""",1969,Oil  and wax crayon / Paper,4,"Sotheby's London, New Bond Street",02/10/2015
UNTITLED,"$1,586,190","$1,083,250","$1,547,500",Signed and Dated,"27.56"" x 35.43""",1970,"Oil  and wax, crayon and pencil / Card",16,"Sotheby's London, New Bond Street",02/10/2015
CRIMES OF PASSION I,"$6,296,780","$6,190,000","$9,285,000",unknown,"75.00"" x 78.74""",1960,Pencil  and wax crayon and oil / Canvas,30,"Sotheby's London, New Bond Street",02/10/2015
UNTITLED (ROME),-not sold-,"$2,630,750","$3,404,500",Signed and Dated,"39.37"" x 43.31""",1964,Oil  and wax crayon and pencil / Canvas,55,"Sotheby's London, New Bond Street",02/10/2015
PROJET D'AFFICHE POUR LE FESTIVAL D'AUTOMNE DE PARIS 1979,"$184,950","$53,030","$79,550",unknown,"39.37"" x 27.56""",1979,Mixed Media / Cardboard,119,Sotheby's Paris,12/03/2014
Agori,"$328,800","$119,320","$159,100",Signed and Dated,"27.56"" x 19.69""",1966,Oil  with gouache and pencil / Cardboard,520,Kunsthaus Lempertz,11/29/2014
Agori,"$394,560","$119,320","$159,100",Signed and Titled,"27.56"" x 19.69""",1966,Oil  with gouache and pencil / Cardboard,521,Kunsthaus Lempertz,11/29/2014
Untitled,"$69,605,000","$35,000,000","$55,000,000",Signed and Dated,"61.25"" x 74.75""",1970,oil based house paint and wax crayon / Canvas,20,"Christie's New York, Rockefeller Center",11/12/2014
SESOSTRIS II,"$317,000","$200,000","$300,000",Signed and Titled,"27.50"" x 39.50""",1974,Gouache  and crayon / Paper,188,Sotheby's New York,11/12/2014
UNTITLED,"$87,500","$60,000","$80,000",Inscribed and Signed,"33.75"" x 26.25""",1966,Colored Pencil  and graphite / Paper,210,Sotheby's New York,11/12/2014
UNTITLED,"$5,205,000","$3,000,000","$4,000,000",Signed and Dated,"20.75"" x 22.50""",1967,Oil / Paper,28,Sotheby's New York,11/11/2014
"Self Portrait, 1947.","$18,000","$30,000","$50,000",Signed and Dated,Dimensions not available,1949,"Ink  ,graphite and gouache / Paper",69,Quinn and Farmer,10/25/2014
Character study of Donald Duck,"$1,600","$1,000","$2,000",Signed on Reverse,"10.00"" x 8.25""",not given,Crayon / Paper,70,Quinn and Farmer,10/25/2014
Character study of Mickey Mouse.,"$1,400","$1,000","$2,000",Signed on Reverse,"10.00"" x 8.25""",not given,Crayon / Paper,71,Quinn and Farmer,10/25/2014
Character study of Fiddler Pig from The Three Little Pigs.,"$1,100","$1,000","$2,000",Signed on Reverse,"10.00"" x 8.25""",not given,Crayon / Paper,72,Quinn and Farmer,10/25/2014
UNTITLED,"$356,700","$309,500","$464,250",unknown,"56.50"" x 41.50""",1976,"Watercolor and pencil  with crayon, waxed paper and cellophane tape / Paper",158,"Sotheby's London, New Bond Street",10/18/2014
UNTITLED,"$858,090","$773,750","$1,083,250",Signed and Dated,"33.27"" x 27.24""",1971,Pencil  oil pastel and watercolour on two pieces of card / Board,28,"Sotheby's London, New Bond Street",10/17/2014
Untitled,"$152,430","$77,380","$108,330",Signed and Dated,"27.68"" x 19.69""",1963,Pastel  and graphite / Paper,132,"Christie's London, King Street",07/02/2014
UNTITLED,-not sold-,"$232,130","$309,500",unknown,"11.02"" x 13.78""",1955,Pencil / Paper,179,"Sotheby's London, New Bond Street",07/01/2014
LICHT MAAL III,-not sold-,"$154,750","$232,130",unknown,"41.50"" x 29.53""",1976,Watercolor and pencil  with crayon and paper collage / Paper,214,"Sotheby's London, New Bond Street",07/01/2014
LYCIAN DRAWING (NIMPHIDIA),-not sold-,"$1,005,880","$1,315,380",Signed Initials,"39.37"" x 27.56""",1982,Crayon  oil and pencil / Paper,24,"Sotheby's London, New Bond Street",06/30/2014
Senza titolo,not,"$3,977","$5,300",Signed Lower Right,"30.31"" x 21.65""",not given,Collage  on lithograph,525,Casa D'Aste Babuino,06/24/2014-06/27/2014
IDES OF MARCH,"$3,544,530","$2,651,600","$3,977,400",Signed and Dated,"68.11"" x 78.35""",1962,Oil  and pencil / Paper,12,Sotheby's Paris,06/03/2014
Natural History Part I (Mushrooms),-not sold-,"$10,610","$13,260",Signed Lower Right,"29.92"" x 22.05""",1974,Collage  and lithograph / Paper on board,178,BlindArte,05/28/2014
Ohne Titel (12.8.81). 1981.,,"$39,770","$66,290",unknown,"12.32"" x 18.90""",not given,Pastel / Paper,412,Van Ham Kunstauktionen,05/27/2014
Ohne Titel. 1981(?).,,"$39,770","$66,290",unknown,"12.20"" x 18.90""",not given,Pastel  and gouache / Paper,413,Van Ham Kunstauktionen,05/27/2014
UNTITLED,"$3,077,000","$2,000,000","$3,000,000",Unavailable,"27.50"" x 34.63""",not given,"Mixed Media  oil, pencil and colored crayon / Paper",28,Sotheby's New York,05/14/2014
UNTITLED,"$4,365,000","$3,500,000","$4,500,000",Signed and Dated,"37.75"" x 54.50""",1959,"Mixed Media  oil, wax crayon and pencil / Canvas",36,Sotheby's New York,05/14/2014
UNTITLED,"$10,245,000","$9,000,000","$12,000,000",Unavailable,"84.63"" x 65.50""",2006,Acrylic / Canvas,41,Sotheby's New York,05/14/2014
UNTITLED,"$965,000","$600,000","$800,000",Signed Initials,"39.38"" x 25.63""",2003,"Mixed Media  acrylic, oil and wax crayon on handmade paper",54,Sotheby's New York,05/14/2014
Nike Androgyne,"$665,000","$600,000","$800,000",Signed Initials,"41.00"" x 27.00""",1983,Oil  with crayon and graphite / Paper,151,"Christie's New York, Rockefeller Center",05/14/2014
Untitled,"$509,000","$300,000","$500,000",Signed and Dated,"16.50"" x 17.88""",1970,Gouache  and crayon / Paper,224,"Christie's New York, Rockefeller Center",05/14/2014
Idilion,"$425,000","$400,000","$600,000",unknown,Dimensions not available,not given,Watercolor and pencil  with vellum and paper collage / Paper,234,"Christie's New York, Rockefeller Center",05/14/2014
UNTITLED,"$7,445,000","$5,000,000","$7,000,000",Signed and Dated,"39.38"" x 43.25""",1964,"Oil  and wax, crayon, and graphite / Canvas",46,"Christie's New York, Rockefeller Center",05/13/2014
Untitled,-not sold-,"$464,250","$619,000",Signed and Dated,"26.73"" x 39.33""",1958,Colored Pencil  and oil-based house paint and graphite / Paper,212,"Christie's London, King Street",02/14/2014
Untitled (Rome),"$4,114,030","$1,857,000","$2,476,000",Signed and Dated,"19.76"" x 23.74""",1960,Oil  with lead pencil and wax crayon / Canvas,12,"Christie's London, King Street",02/13/2014
Untitled,"$3,594,070","$1,857,000","$2,785,500",Signed and Dated,"60.98"" x 77.99""",1972,Crayon  and graphite / Paper,29,"Christie's London, King Street",02/13/2014
UNTITLED (ROME),"$18,846,230","$7,737,500","$10,832,500",unknown,"81.10"" x 99.61""",1964,Oil  with wax crayon and pencil / Canvas,9,"Sotheby's London, New Bond Street",02/12/2014
LYCIAN DRAWING (NIPHIDIA),"$2,814,130","$1,547,500","$1,857,000",Signed Initials,"39.37"" x 27.56""",1982,Oil  with crayon and pencil / Paper,49,"Sotheby's London, New Bond Street",02/12/2014
IDILLI,"$598,110","$619,000","$928,500",Signed Initials,"45.98"" x 32.99""",1976,Oil  with watercolor and crayon / Paper,52,"Sotheby's London, New Bond Street",02/12/2014
Untitled,"$2,034,190","$1,547,500","$2,321,250",Signed and Dated,"31.30"" x 39.37""",1962,"lead pencil, wax crayon, coloured pencil and oil / Canvas",60,"Christie's London, King Street",02/11/2014
Cnidian Venus,-not sold-,"$2,630,750","$3,868,750",Unavailable,"78.74"" x 66.93""",1966,"oil based house paint, wax crayon, lead pencil / Canvas",61,"Christie's London, King Street",02/11/2014
Natural History Part I,"$3,314","$5,040","$5,300",Signed Lower Right,"29.76"" x 22.05""",1974,Collage  and lithograph / Paper,204,Il Ponte,12/11/2013
SANS TITRE,"$431,550","$265,160","$397,740",Unavailable,"26.57"" x 34.06""",1967,Pencil / Cardboard,14,Sotheby's Paris,12/03/2013
UNTITLED,"$521,000","$250,000","$350,000",Signed and Dated,"10.50"" x 27.50""",1960,Pencil  with wax crayon and ballpoint pen / Paper,181,Sotheby's New York,11/14/2013
"UNTITLED (CAPTIVA ISLAND, FLORIDA)","$461,000","$200,000","$300,000",Signed and Dated,"29.50"" x 41.50""",1974,"Pencil  with  wax crayon, paper collage and tape / Paper",182,Sotheby's New York,11/14/2013
UNTITLED (CANTO VII),"$293,000","$350,000","$450,000",Signed Initials,"54.50"" x 42.75""",1976,"Pen and ink  with  charcoal, wax crayon, watercolor, tracing paper, tape and paper collage on two attached pieces of paper / Paper",183,Sotheby's New York,11/14/2013
UNTITLED (CANTO VII),"$401,000","$500,000","$700,000",Signed and Dated,"27.50"" x 39.25""",1957,Pencil  with wax crayon and oil / Paper,184,Sotheby's New York,11/14/2013
STUDY FOR THE BIRTH OF VENUS,"$377,000","$80,000","$120,000",Signed and Titled,"13.13"" x 14.13""",1963,Pencil  and wax crayon / Paper,185,Sotheby's New York,11/14/2013
"POSTER STUDY FOR ""NINE DISCOURSES ON COMMODUS BY CY TWOMBLY AT LEO CASTELLI""","$281,000","$100,000","$150,000",Signed and Titled,"27.63"" x 19.75""",1964,Colored Pencil  and pencil / Paper,186,Sotheby's New York,11/14/2013
"POSTER STUDY FOR ""NINE DISCOURSES ON COMMODUS BY CY TWOMBLY AT LEO CASTELLI""","$269,000","$100,000","$150,000",Signed and Titled,"27.50"" x 19.75""",1964,Colored Pencil  and pencil / Paper,187,Sotheby's New York,11/14/2013
"POSTER STUDY FOR ""NINE DISCOURSES ON COMMODUS BY CY TWOMBLY AT LEO CASTELLI""","$221,000","$100,000","$150,000",Signed and Titled,"27.50"" x 19.75""",1964,Colored Pencil  and pencil / Paper,188,Sotheby's New York,11/14/2013
UNTITLED (2),"$629,000","$650,000","$850,000",Signed and Dated,Dimensions not available,1976,"Collage  , oil and wax crayon, pencil and tape / Paper",18,Sotheby's New York,11/13/2013
POEMS TO THE SEA (24),"$21,669,000","$6,000,000","$8,000,000",Signed and Dated,Dimensions not available,1959,"oil-based house paint, pencil and wax crayon / Paper",20,Sotheby's New York,11/13/2013
SEGUSO,"$1,061,000","$600,000","$800,000",Signed and Dated,"40.75"" x 52.50""",1976,"Watercolor  , crayon and pencil / Paper",23,Sotheby's New York,11/13/2013
IDILLI (3),"$2,517,000","$1,500,000","$2,000,000",Signed and Dated,Dimensions not available,1976,"Collage  , oil and wax crayon, pencil and tape / Paper",32,Sotheby's New York,11/13/2013
UNTITLED (THE MATHEMATICAL DREAM OF ASHURBANIPAL),"$2,285,000","$2,000,000","$3,000,000",Signed Initials,"41.50"" x 20.75"" x 20.75""",2009,Bronze,33,Sotheby's New York,11/13/2013
UNTITLED,-not sold-,"$2,500,000","$3,500,000",Unavailable,"27.50"" x 34.63""",1971,"Oil  , graphite and colored crayon on paper laid on canvas",42,Sotheby's New York,11/13/2013
UNTITLED,"$281,000","$300,000","$400,000",Signed and Dated,"19.75"" x 27.50""",1963,Pencil  and crayon / Paper,53,Sotheby's New York,11/13/2013
BLUE RIDGE MOUNTAINS TRANSFIXED BY A ROMAN PIAZZA,-not sold-,"$2,500,000","$3,500,000",Unavailable,"58.50"" x 71.00""",1962,"oil paint, wax crayon and lead pencil / Canvas",56,Sotheby's New York,11/13/2013
VENUS,"$317,000","$350,000","$450,000",Signed and Dated,"27.50"" x 19.50""",1962,"pencil, colored pencil, and watercolor / Paper",57,Sotheby's New York,11/13/2013
UNTITLED,"$1,025,000","$500,000","$700,000",unknown,"33.50"" x 27.50""",1971,"oil-base housepaint, graphite and colored wax crayon / Paper",171,"Christie's New York, Rockefeller Center",11/13/2013
STUDY FOR BY THE IONIAN SEA,-not sold-,"$400,000","$600,000",Inscribed and Signed,"23.75"" x 19.75""",1962,Crayon  and graphite / Canvas,176,"Christie's New York, Rockefeller Center",11/13/2013
Untitled,"$1,685,000","$1,500,000","$2,000,000",Signed and Dated,"19.63"" x 27.50""",1960,"Oil  and graphite, colored pencil, wax crayon and ballpoint pen / Paper",38,"Christie's New York, Rockefeller Center",11/12/2013
Untitled,-not sold-,"$900,000","$1,200,000",unknown,"23.00"" x 30.25""",1969,"Pencil  with  wax crayon, felt-tip pen and colored pencil on paper / Paper",17,Phillips New York,11/11/2013
"""Love""",-not sold-,"$40,000","$60,000",Signed and Titled,"13.25"" x 10.25""",1988,Mixed Media / Paper,154,Trinity International Auctions & Appraisals LLC,10/05/2013
UNTITLED,"$57,670","$61,520","$92,270",Signed and Dated,"12.20"" x 14.37""",1957,Colored Pencil  and pencil / Paper,140,"Sotheby's London, New Bond Street",06/27/2013
UNTITLED,"$280,670","$230,690","$307,580",Signed and Titled,"19.69"" x 27.68""",1963,Colored Pencil  and pencil / Paper,141,"Sotheby's London, New Bond Street",06/27/2013
Untitled (Rome),"$2,508,540","$2,154,740","$2,770,380",Inscribed,"44.29"" x 19.69"" x 19.69""",1990,Bronze,39,"Christie's London, King Street",06/25/2013
Untitled,"$1,111,040","$923,460","$1,231,280",Inscribed,"22.83"" x 7.87"" x 8.27""",2003,Bronze,62,"Christie's London, King Street",06/25/2013
"UNTITLED (ROMA), 1962",-not sold-,"$1,559,280","$1,949,100",Signed and Dated,"23.62"" x 27.56""",1962,Colored Pencil  oil and pencil / Paper,33,Artcurial,06/03/2013
SENZA TITOLO (APPUNTI),-not sold-,"$12,890","$19,330",Unavailable,"6.69"" x 7.87""",1962,Mixed Media  blue biro / Paper,33,Sotheby's Milan,05/22/2013-05/23/2013
Untitled,-not sold-,"$800,000","$1,200,000",Signed and Dated,"27.50"" x 39.38""",1958,"Oil-based house paint, colored pencil and graphite on paper mounted / Canvas",188,"Christie's New York, Rockefeller Center",05/16/2013
Untitled,-not sold-,"$300,000","$500,000",Signed and Dated,"28.63"" x 40.25""",1961,Pencil  pastel and ink / Paper,190,"Christie's New York, Rockefeller Center",05/16/2013
Untitled (Rome),"$7,739,750","$6,000,000","$8,000,000",Signed Initials,"76.25"" x 12.13"" x 31.00""",1987,Bronze,33,"Christie's New York, Rockefeller Center",05/15/2013
Untitled [Gaeta],"$6,395,750","$5,000,000","$7,000,000",Signed and Dated,"49.50"" x 72.75""",2000,"Oil based house paint, acrylic, wax crayon, lead pencil and paper collage / Panel",44,"Christie's New York, Rockefeller Center",05/15/2013
UNTITLED,"$2,285,000","$1,200,000","$1,500,000",Signed and Dated,"20.50"" x 14.38""",1971,housepaint and wax crayon / Card,110,Sotheby's New York,05/15/2013
PRIAPUS,"$479,000","$300,000","$400,000",Unavailable,"13.50"" x 19.38""",1960,"graphite, wax crayon and pen / Paper",117,Sotheby's New York,05/15/2013
"UNTITLED (CAPTIVA ISLAND, FLORIDA)",-not sold-,"$150,000","$200,000",Unavailable,"29.25"" x 41.50""",1974,"graphite, crayon and paper collage / Paper",222,Sotheby's New York,05/15/2013
BUONA FORTUNA (WHITE HORSE),-not sold-,"$150,000","$200,000",Unavailable,"28.00"" x 17.75""",1969,"graphite, colored pencil, tape and paper collage / Paper",223,Sotheby's New York,05/15/2013
UNTITLED,"$161,000","$150,000","$200,000",Inscribed,"11.00"" x 8.50""",1955,graphite / Paper,224,Sotheby's New York,05/15/2013
UNTITLED,"$1,385,000","$500,000","$700,000",Signed and Dated,"27.50"" x 39.25""",1971,Chalk  oil and wax crayon / Paper,1,Sotheby's New York,05/14/2013
UNTITLED (BOLSENA),"$15,397,000","$10,000,000","$15,000,000",Signed and Dated,"78.75"" x 94.50""",1969,"Oil based house paint, lead pencil and wax crayon / Canvas",13,Sotheby's New York,05/14/2013
"""Red Sphere""","$36,750","$20,000","$40,000",Signed Lower Right,"7.75"" x 11.25""",1989,Mixed Media / Paper,148,Trinity International Auctions & Appraisals LLC,05/11/2013
Untitled,"$2,341,400","$1,563,800","$2,345,700",Signed and Dated,"19.69"" x 23.62""",1961,oil-based house paint and lead pencil / Canvas,22,"Christie's London, King Street",02/13/2013
(i) Portrait of George D'Almeida (ii) Portrait of Anne D'Almeida,-not sold-,"$1,407,420","$1,876,560",Signed,Dimensions not available,1967,oil-based house paint and graphite / Canvas,53,"Christie's London, King Street",02/13/2013
Untitled,"$1,314,500","$600,000","$800,000",Signed and Dated,"27.50"" x 34.25""",1970,Gouache  and wax crayon / Board,143,"Christie's New York, Rockefeller Center",11/15/2012
Untitled,"$494,500","$250,000","$350,000",Signed Initials,"34.75"" x 27.75""",1981,colored wax crayon and graphite / Paper,192,"Christie's New York, Rockefeller Center",11/15/2012
Priapus,"$506,500","$300,000","$500,000",Signed and Titled,"13.75"" x 19.63""",1960,Ink  graphite and colored pencil / Paper,420,"Christie's New York, Rockefeller Center",11/15/2012
Untitled,"$5,010,500","$1,500,000","$2,000,000",Signed and Dated,"27.50"" x 33.25""",1969,housepaint and wax crayon / Paper,34,"Christie's New York, Rockefeller Center",11/14/2012
Untitled,"$1,538,500","$700,000","$1,000,000",Signed and Dated,"27.63"" x 34.25""",1970,housepaint and wax crayon / Paper,46,"Christie's New York, Rockefeller Center",11/14/2012
